name,value,units,def_num,raw_value
fractional_cadence,0.0,rpm,53,0
eE,751.2789916992188,c/hr,1,751.2789916992188
rE,139.8186492919922,runEco,2,139.8186492919922
pwr,,w,5,
tpRE,1.948814868927002,runEco,9,1.948814868927002
frnrRE,154.35360717773438,runEco,10,154.35360717773438
timestamp,2022-05-04T13:47:03+00:00,,253,1020606423
position_lat,38.794507859274745,deg,0,462836507
position_long,-77.04586478881538,deg,1,-919192971
distance,0.22738999999999998,km,5,22739
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,12.027600000000001,km/h,73,3.341
speed,12.027600000000001,km/h,6,3341
unknown_87,,,87,
unknown_88,300,,88,300
heart_rate,133,bpm,3,133
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,751.2789916992188,c/hr,1,751.2789916992188
rE,139.8186492919922,runEco,2,139.8186492919922
pwr,,w,5,
tpRE,1.9542584419250488,runEco,9,1.9542584419250488
frnrRE,154.59893798828125,runEco,10,154.59893798828125
timestamp,2022-05-04T13:47:04+00:00,,253,1020606424
position_lat,38.79447927698493,deg,0,462836166
position_long,-77.04587006941438,deg,1,-919193034
distance,0.2306,km,5,23060
enhanced_altitude,-6.199999999999989,m,78,-6.199999999999989
altitude,-6.199999999999989,m,2,2469
enhanced_speed,12.06,km/h,73,3.35
speed,12.06,km/h,6,3350
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,133,bpm,3,133
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,750.845947265625,c/hr,1,750.845947265625
rE,139.8186492919922,runEco,2,139.8186492919922
pwr,,w,5,
tpRE,1.94389808177948,runEco,9,1.94389808177948
frnrRE,152.70382690429688,runEco,10,152.70382690429688
timestamp,2022-05-04T13:47:05+00:00,,253,1020606425
position_lat,38.79445052705705,deg,0,462835823
position_long,-77.04587493091822,deg,1,-919193092
distance,0.23382,km,5,23382
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,12.0924,km/h,73,3.359
speed,12.0924,km/h,6,3359
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,133,bpm,3,133
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,750.845947265625,c/hr,1,750.845947265625
rE,139.8186492919922,runEco,2,139.8186492919922
pwr,,w,5,
tpRE,1.94389808177948,runEco,9,1.94389808177948
frnrRE,152.81690979003906,runEco,10,152.81690979003906
timestamp,2022-05-04T13:47:06+00:00,,253,1020606426
position_lat,38.79442160949111,deg,0,462835478
position_long,-77.04587845131755,deg,1,-919193134
distance,0.23704,km,5,23704
enhanced_altitude,-6.199999999999989,m,78,-6.199999999999989
altitude,-6.199999999999989,m,2,2469
enhanced_speed,12.0924,km/h,73,3.359
speed,12.0924,km/h,6,3359
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,132,bpm,3,132
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
